epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
100,2298.49,0.74601,1.5462,0.64449,1.09068,0,0.95784,0.85106,0.93898,0.72459,0.96361,0.84523,0.93365,0.60485,0.73329,1.35212,0.56633,1.0395,0,0.0010199,0.0010199,0.0010199
101,2321.44,0.76801,1.55655,0.68075,1.08976,0,0.95686,0.81915,0.91521,0.70704,0.95686,0.81915,0.92169,0.59227,0.72454,1.40557,0.6235,1.04894,0,0.00101,0.00101,0.00101
102,2344.41,0.78713,1.55265,0.69059,1.11064,0,0.94558,0.82979,0.93788,0.70721,0.91187,0.84043,0.93099,0.59002,0.81528,1.37075,0.52035,1.08785,0,0.0010001,0.0010001,0.0010001
103,2367.32,0.71293,1.48319,0.66148,1.07611,0,0.90897,0.84979,0.91303,0.68826,0.92035,0.86043,0.91161,0.58334,0.83465,1.35751,0.54369,1.11044,0,0.0009902,0.0009902,0.0009902
104,2390.21,0.76563,1.56365,0.68308,1.09827,0,0.81492,0.87234,0.9281,0.69686,0.81997,0.88298,0.93283,0.59319,0.81388,1.33401,0.54466,1.07424,0,0.0009803,0.0009803,0.0009803
105,2413.05,0.74231,1.53405,0.65735,1.07881,0,0.94236,0.79787,0.94282,0.72172,0.92819,0.78723,0.91768,0.59753,0.78329,1.38945,0.50335,1.08535,0,0.0009704,0.0009704,0.0009704
106,2435.9,0.7167,1.46569,0.645,1.07873,0,0.90863,0.84642,0.92449,0.69959,0.90863,0.84642,0.91032,0.57797,0.74896,1.50251,0.52074,1.06102,0,0.0009605,0.0009605,0.0009605
107,2458.79,0.73933,1.50967,0.65447,1.08737,0,0.89318,0.88959,0.93102,0.70544,0.87185,0.86852,0.89766,0.5977,0.7056,1.37218,0.5305,1.05306,0,0.0009506,0.0009506,0.0009506
108,2481.62,0.71417,1.51904,0.63549,1.06339,0,0.92927,0.83866,0.90192,0.70671,0.92927,0.83866,0.89617,0.59892,0.74691,1.31788,0.55588,1.05067,0,0.0009407,0.0009407,0.0009407
109,2504.44,0.70969,1.48532,0.60267,1.07014,0,0.87634,0.90473,0.92068,0.70214,0.86623,0.89555,0.90449,0.58908,0.76279,1.36592,0.53866,1.09852,0,0.0009308,0.0009308,0.0009308
