epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1519.71,1.07154,1.75179,0.91487,0.01403,0.93503,0.92791,0.80851,0.9035,0.67059,0.92791,0.80851,0.90229,0.58139,0.87537,1.3804,0.68522,0.01973,0,0.0014555,0.0014555,0.0014555
57,1546.71,1.00146,1.68391,0.84557,0.01319,0.8626,0.89408,0.82979,0.90083,0.66944,0.89408,0.82979,0.89799,0.60006,0.8011,1.26665,0.60171,0.01771,0,0.0014456,0.0014456,0.0014456
58,1573.71,0.9705,1.69174,0.82996,0.01245,0.87594,0.89866,0.84908,0.91505,0.63889,0.89502,0.84043,0.9103,0.58591,1.13764,1.3326,0.57287,0.02397,0,0.0014357,0.0014357,0.0014357
59,1600.73,1.01501,1.67288,0.83122,0.01345,0.9385,0.90961,0.85106,0.93143,0.65472,0.89824,0.84043,0.92353,0.589,0.863,1.40091,0.55701,0.02159,0,0.0014258,0.0014258,0.0014258
60,1627.72,0.99542,1.63718,0.8627,0.01289,0.9475,0.88061,0.7847,0.8701,0.62181,0.88061,0.7847,0.86981,0.57663,0.90035,1.3265,0.6538,0.02268,0,0.0014159,0.0014159,0.0014159
61,1654.72,1.02875,1.67181,0.84161,0.0131,0.8778,0.89115,0.84043,0.9094,0.64628,0.89115,0.84043,0.91085,0.58549,0.99086,1.31644,0.61412,0.02587,0,0.001406,0.001406,0.001406
62,1681.77,1.00155,1.66788,0.81776,0.01255,0.82085,0.9292,0.83777,0.92667,0.67896,0.9292,0.83777,0.92165,0.61699,0.79561,1.31426,0.49161,0.01822,0,0.0013961,0.0013961,0.0013961
63,1708.8,1.04161,1.65509,0.7969,0.01375,0.88185,0.92563,0.80851,0.92205,0.65078,0.8957,0.82226,0.91436,0.62065,0.94227,1.27964,0.53056,0.0223,0,0.0013862,0.0013862,0.0013862
64,1735.81,0.98672,1.65149,0.81547,0.01308,0.86578,0.93855,0.8124,0.90653,0.67197,0.93855,0.8124,0.91364,0.58536,0.85238,1.36987,0.54931,0.0214,0,0.0013763,0.0013763,0.0013763
65,1762.81,0.96948,1.6534,0.80682,0.01225,0.8405,0.93538,0.85106,0.9248,0.59882,0.89549,0.82041,0.89062,0.56601,1.17744,1.46231,0.65384,0.0277,0,0.0013664,0.0013664,0.0013664
66,1789.82,1.01275,1.69727,0.77566,0.01322,0.82653,0.90532,0.84043,0.91948,0.67555,0.9184,0.83811,0.92234,0.60304,0.93678,1.27109,0.53173,0.01893,0,0.0013565,0.0013565,0.0013565
67,1816.88,1.01398,1.63056,0.8502,0.0127,0.91486,0.89055,0.77902,0.89845,0.64671,0.89055,0.77902,0.89126,0.58213,0.96989,1.31985,0.68992,0.02267,0,0.0013466,0.0013466,0.0013466
68,1843.91,0.99445,1.64513,0.82007,0.01257,0.84631,0.88128,0.8617,0.91101,0.67565,0.88128,0.8617,0.90823,0.60312,0.85682,1.26317,0.5334,0.01737,0,0.0013367,0.0013367,0.0013367
69,1870.94,0.96426,1.61423,0.8022,0.01199,0.84022,0.93038,0.85296,0.92125,0.68668,0.93038,0.85296,0.93552,0.61983,0.94861,1.2573,0.53095,0.02108,0,0.0013268,0.0013268,0.0013268
70,1897.97,0.97674,1.62009,0.79196,0.01224,0.86993,0.90358,0.8617,0.89771,0.64732,0.89195,0.85106,0.88401,0.59543,0.98696,1.3298,0.62106,0.02262,0,0.0013169,0.0013169,0.0013169
71,1925.01,0.9887,1.66136,0.81815,0.01275,0.87357,0.96243,0.81747,0.93941,0.70158,0.96243,0.81747,0.93009,0.62502,0.81676,1.31047,0.50875,0.01948,0,0.001307,0.001307,0.001307
72,1952.05,0.99085,1.64672,0.80708,0.01259,0.88898,0.9307,0.85728,0.91713,0.68975,0.9307,0.85728,0.91713,0.59991,0.74141,1.31608,0.45587,0.01728,0,0.0012971,0.0012971,0.0012971
73,1979.06,1.0085,1.58217,0.80382,0.01278,0.79336,0.89487,0.81505,0.89936,0.68345,0.89487,0.81505,0.89954,0.60592,0.73993,1.28078,0.64025,0.01783,0,0.0012872,0.0012872,0.0012872
74,2006.05,1.01575,1.60637,0.79912,0.01333,0.84113,0.91542,0.85106,0.90812,0.66647,0.91542,0.85106,0.91339,0.58441,1.00769,1.37379,0.57367,0.0231,0,0.0012773,0.0012773,0.0012773
75,2033.07,1.00986,1.59212,0.80088,0.01301,0.79018,0.90238,0.79787,0.89855,0.66067,0.90238,0.79787,0.88943,0.5893,0.93717,1.31656,0.60272,0.02117,0,0.0012674,0.0012674,0.0012674
